Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Love In This Club Part II,Usher Featuring Beyonce & Lil Wayne ,2008-07-05,25,10,
The Time Of My Life,David Cook ,2008-07-05,3,20,
Got Money,Lil Wayne Featuring T-Pain ,2008-07-05,10,27,
Put On,Young Jeezy Featuring Kanye West ,2008-07-05,12,20,
Should've Said No,Taylor Swift ,2008-07-05,33,20,
Girls Around The World,Lloyd Featuring Lil Wayne ,2008-07-05,64,14,
Moving Mountains,Usher ,2008-07-05,67,9,
Lookin Boy,Hot Stylz Featuring Yung Joc ,2008-07-05,47,11,
Homecoming,Kanye West Featuring Chris Martin ,2008-07-05,69,7,
Put A Girl In It,Brooks & Dunn ,2008-07-05,54,13,
Game's Pain,The Game Featuring Keyshia Cole ,2008-07-05,75,7,
Fall For You,Secondhand Serenade ,2008-07-05,21,30,
Mr. Carter,Lil Wayne Featuring Jay-Z ,2008-07-05,62,17,
Buzzin',Shwayze Featuring Cisco Adler ,2008-07-05,46,5,
Hot N Cold,Katy Perry ,2008-07-05,3,39,
I Still Miss You,Keith Anderson ,2008-07-05,48,19,
Love Remains The Same,Gavin Rossdale ,2008-07-05,27,31,
All I Want To Do,Sugarland ,2008-07-05,18,16,
You Look Good In My Shirt,Keith Urban ,2008-07-05,44,17,
Lost!,Coldplay ,2008-07-05,87,3,
That's What You Get,Paramore ,2008-07-05,66,17,
Addicted,Saving Abel ,2008-07-05,20,34,
Never Would Have Made It,Marvin Sapp ,2008-07-05,82,13,
Burnin' Up,Jonas Brothers ,2008-07-12,5,16,
Life In A Northern Town,Sugarland Featuring Little Big Town & Jake Owen ,2008-07-12,43,3,
Come On Over,Jessica Simpson ,2008-07-12,65,7,
One Step At A Time,Jordin Sparks ,2008-07-12,17,21,
Thunder,Boys Like Girls ,2008-07-12,76,13,
Bartender Song (aka Sittin' At A Bar),Rehab ,2008-07-12,71,11,
Believe,Staind ,2008-07-12,83,3,
Here I Am,Rick Ross Featuring Nelly & Avery Storm ,2008-07-12,41,14,
Corona And Lime,Shwayze ,2008-08-09,23,8,
Paper Planes,M.I.A. ,2008-08-09,4,20,
All Summer Long,Kid Rock ,2008-08-09,23,20,
Breakout,Miley Cyrus ,2008-08-09,56,4,
The Business,Yung Berg Featuring Casha ,2008-08-09,33,14,
Better In Time,Leona Lewis ,2008-08-09,11,31,
Out Here Grindin,"DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie ",2008-08-09,39,14,
Need U Bad,Jazmine Sullivan ,2008-08-09,37,20,
I'll Be Lovin' U Long Time,Mariah Carey ,2008-08-09,58,8,
She Never Cried In Front Of Me,Toby Keith ,2008-08-09,42,20,
Waitin' On A Woman,Brad Paisley ,2008-08-09,44,20,
Do You Believe Me Now,Jimmy Wayne ,2008-08-09,36,20,
Don't Think I Don't Think About It,Darius Rucker ,2008-08-09,35,20,
Magic,Robin Thicke ,2008-08-09,59,17,
Body On Me,Nelly Featuring Ashanti & Akon ,2008-08-09,42,14,
Troubadour,George Strait ,2008-08-09,54,15,
Pushin' Me Away,Jonas Brothers ,2008-08-09,16,2,
Holler Back,The Lost Trailers ,2008-08-09,66,13,
Johnny & June,Heidi Newfield ,2008-08-09,58,15,
Please Excuse My Hands,Plies Featuring Jamie Foxx & The-Dream ,2008-08-09,66,12,
Spotlight,Jennifer Hudson ,2008-08-09,24,21,
Baby,LL Cool J Featuring The-Dream ,2008-08-09,52,11,
Mamma Mia,Meryl Streep ,2008-08-09,99,1,
Out Here Grindin,"DJ Khaled Featuring Akon, Rick Ross, Young Jeezy, Lil' Boosie, Trick Daddy, Ace Hood & Pli ",2008-07-19,38,1,
Free Fallin',John Mayer ,2008-07-19,51,10,
Sneakernight,Vanessa Hudgens ,2008-07-19,88,1,
That Song In My Head,Julianne Hough ,2008-07-19,88,6,
Stepped On My J'z,Nelly Featuring Ciara & JD ,2008-07-26,90,1,
Check Yes Juliet (Run Baby Run),WE the Kings ,2008-07-26,70,11,
Learning How To Bend,Gary Allan ,2008-07-26,96,4,
Hero,Nas Featuring Keri Hilson ,2008-08-02,97,1,
A Little Bit Longer,Jonas Brothers ,2008-08-23,11,1,
My Life,The Game Featuring Lil Wayne ,2008-08-23,21,20,
Can't Believe It,T-Pain Featuring Lil Wayne ,2008-08-23,7,24,
Marco Polo,Bow Wow Featuring Soulja Boy Tell'em ,2008-08-23,66,3,
Tonight,Jonas Brothers ,2008-08-23,8,4,
What If It All Goes Right,Melissa Lawson ,2008-08-23,79,1,
Just Dance,Lady GaGa Featuring Colby O'Donis ,2008-08-23,1,43,
Swing,Savage Featuring Soulja Boy Tell'em ,2008-08-23,45,20,
Energy,Keri Hilson ,2008-08-23,78,9,
Shattered (Turn The Car Around),O.A.R. ,2008-08-23,36,24,
Just A Dream,Carrie Underwood ,2008-08-23,29,20,
Whatever You Like,T.I. ,2008-08-23,1,31,
Crush,David Archuleta ,2008-08-30,2,23,
Change,Taylor Swift ,2008-08-30,10,3,
Dreamer,Chris Brown ,2008-08-30,16,2,
Everybody Wants To Go To Heaven,Kenny Chesney ,2008-08-30,41,8,
Get Back,Demi Lovato ,2008-08-30,43,6,
All Summer Long,Hit Masters ,2008-08-30,19,5,
BB Good,Jonas Brothers ,2008-08-30,88,1,
Real,Goo Goo Dolls ,2008-08-30,92,1,
Cry For You,September ,2008-08-30,74,10,
Warrior,Nelly ,2008-08-30,96,1,
Something Special,Colbie Caillat ,2008-08-30,98,1,
So What,Pink ,2008-10-04,1,31,
Love Lockdown,Kanye West ,2008-10-04,3,23,
Love Story,Taylor Swift ,2008-10-04,4,49,
Miss Independent,Ne-Yo ,2008-10-04,7,28,
Let It Rock,Kevin Rudolf Featuring Lil Wayne ,2008-10-04,5,35,
Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne ,2008-10-04,5,20,
Mrs. Officer,Lil Wayne Featuring Bobby Valentino ,2008-10-04,24,5,
All Summer Long,The Rock Heroes ,2008-10-04,29,15,
Green Light,John Legend Featuring Andre 3000 ,2008-10-04,24,26,
What Them Girls Like,Ludacris Co-Starring Chris Brown & Sean Garrett ,2008-10-04,33,14,
T-Shirt,Shontelle ,2008-10-04,36,17,
Chicken Fried,Zac Brown Band ,2008-10-04,20,25,
I Don't Care,Fall Out Boy ,2008-10-04,21,20,
Bartender Song,Rehab ,2008-10-04,64,9,
Go Hard,DJ Khaled Featuring Kanye West & T-Pain ,2008-10-04,69,2,
Just Stand Up!,Artists Stand Up To Cancer ,2008-10-04,11,4,
So Fly,Slim Featuring Yung Joc ,2008-10-04,49,15,
Cookie Jar,Gym Class Heroes Featuring The-Dream ,2008-10-04,59,5,
Come On Get Higher,Matt Nathanson ,2008-10-04,59,20,
The Day That Never Comes,Metallica ,2008-10-04,31,10,
Right Here (Departed),Brandy ,2008-10-04,34,18,
Lovebug,Jonas Brothers ,2008-10-04,49,14,
Superwoman,Alicia Keys ,2008-10-04,82,7,
Roll With Me,Montgomery Gentry ,2008-10-04,33,20,
Angel,Natasha Bedingfield ,2008-10-04,63,8,
Let It Go,Tim McGraw ,2008-10-04,47,15,
Country Man,Luke Bryan ,2008-10-04,74,9,
I'd Rather Be With You,Joshua Radin ,2008-10-04,82,2,
No Me Doy Por Vencido,Luis Fonsi ,2008-10-04,92,9,
Right Now (Na Na Na),Akon ,2008-10-11,8,22,
Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd ,2008-10-11,16,17,
Ready For Whatever,T.I. ,2008-10-11,57,1,
Krazy,Pitbull Featuring Lil Jon ,2008-10-11,30,19,
Don't Forget,Demi Lovato ,2008-10-11,41,9,
Live Your Life,T.I. Featuring Rihanna ,2008-10-11,1,28,
Use Somebody,Kings Of Leon ,2008-10-11,4,57,
Bad Girlfriend,Theory Of A Deadman ,2008-10-11,75,17,
Already Gone,Sugarland ,2008-10-11,41,19,
On The Line,Demi Lovato Featuring Jonas Brothers ,2008-10-11,100,1,
Keeps Gettin' Better,Christina Aguilera ,2008-10-18,7,18,
Gotta Be Somebody,Nickelback ,2008-10-18,10,27,
Light On,David Cook ,2008-10-18,17,20,
Human,The Killers ,2008-10-18,32,20,
Dead And Gone,T.I. Featuring Justin Timberlake ,2008-10-18,2,29,
Go Girl,Ciara Featuring T-Pain ,2008-10-18,78,1,
It's Over,Jesse McCartney ,2008-10-18,62,5,
Without You,Hinder ,2008-10-18,85,9,
I'll Walk,Bucky Covington ,2008-10-18,70,8,
Here,Rascal Flatts ,2008-10-18,50,17,
All I Ever Wanted,Chuck Wicks ,2008-10-18,86,4,
Womanizer,Britney Spears ,2008-10-18,1,23,
In Color,Jamey Johnson ,2008-10-18,52,18,
Single Ladies (Put A Ring On It),Beyonce ,2009-01-10,1,27,
Heartless,Kanye West ,2009-01-10,2,30,
If I Were A Boy,Beyonce ,2009-01-10,3,20,
Circus,Britney Spears ,2009-01-10,3,22,
Gives You Hell,The All-American Rejects ,2009-01-10,4,36,
Rehab,Rihanna ,2009-01-10,18,17,
I Hate This Part,The Pussycat Dolls ,2009-01-10,11,20,
You Found Me,The Fray ,2009-01-10,7,39,
Untouched,The Veronicas ,2009-01-10,17,20,
One More Drink,Ludacris Co-Starring T-Pain ,2009-01-10,24,18,
Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana ,2009-01-10,22,20,
Chopped 'N' Skrewed,T-Pain Featuring Ludacris ,2009-01-10,27,19,
Decode,Paramore ,2009-01-10,33,14,
I'm So Paid,Akon Featuring Lil Wayne & Young Jeezy ,2009-01-10,31,13,
Sober,Pink ,2009-01-10,15,25,
White Horse,Taylor Swift ,2009-01-10,13,22,
Seventeen Forever,Metro Station ,2009-01-10,42,6,
Put It On Ya,Plies Featuring Chris J ,2009-01-10,31,13,
About You Now,Miranda Cosgrove ,2009-01-10,47,4,
Cowgirls Don't Cry,Brooks & Dunn Featuring Reba McEntire ,2009-01-10,44,20,
Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall ,2009-01-10,19,22,
Don't Trust Me,3OH!3 ,2009-01-10,7,36,
Just Like Me,Jamie Foxx Featuring T.I. ,2009-01-10,49,18,
Second Chance,Shinedown ,2009-01-10,7,41,
Mad,Ne-Yo ,2009-01-10,11,24,
Universal Mind Control,Common Featuring Pharrell ,2009-01-10,62,6,
"You're Gonna Go Far, Kid",The Offspring ,2009-01-10,63,18,
She Wouldn't Be Gone,Blake Shelton ,2009-01-10,43,20,
Trading Places,Usher ,2009-01-10,45,17,
Country Boy,Alan Jackson ,2009-01-10,49,19,
Kiss Me Thru The Phone,Soulja Boy Tell 'Em Featuring Sammie ,2009-01-10,17,8,
J**z In My Pants,The Lonely Island ,2009-01-10,72,1,
Sex On Fire,Kings Of Leon ,2009-01-10,56,20,
God Love Her,Toby Keith ,2009-01-10,36,20,
Feel That Fire,Dierks Bentley ,2009-01-10,32,21,
Start A Band,Brad Paisley Duet With Keith Urban ,2009-01-10,55,16,
Bust Your Windows,Jazmine Sullivan ,2009-01-10,31,15,
I Don't Care,Apocalyptica Featuring Adam Gontier ,2009-01-10,78,16,
Lookin' For A Good Time,Lady Antebellum ,2009-01-10,67,15,
Poker Face,Lady GaGa ,2009-01-10,1,24,
Diva,Beyonce ,2009-01-10,19,20,
La La Land,Demi Lovato ,2009-01-10,52,8,
Fly On The Wall,Miley Cyrus ,2009-01-10,84,2,
Lollipop,Framing Hanley ,2009-01-10,82,10,
Playa Cardz Right,Keyshia Cole Featuring 2Pac ,2009-01-10,63,13,
Don't,Billy Currington ,2009-01-10,52,20,
If Today Was Your Last Day,Nickelback ,2009-01-10,19,22,
See You In My Nightmares,Kanye West Featuring Lil Wayne ,2009-01-10,21,4,
Sweet Thing,Keith Urban ,2009-01-10,30,20,
Chasing Pavements,Adele ,2009-01-10,21,7,
Broken,Lifehouse ,2009-01-10,83,15,
Arab Money,Busta Rhymes Featuring Ron Browz ,2009-01-10,86,4,
She Got Her Own,Ne-Yo Featuring Jamie Foxx & Fabolous ,2009-01-10,54,20,
Down The Road,Kenny Chesney With Mac McAnally ,2009-01-10,47,18,
Tell Me Something I Don't Know,Selena Gomez ,2009-01-10,58,4,
Turnin Me On,Keri Hilson Featuring Lil Wayne ,2009-01-10,15,22,
IfULeave,Musiq Soulchild Featuring Mary J. Blige ,2009-01-03,71,12,
RUN,Leona Lewis ,2009-01-03,81,1,
River Of Love,George Strait ,2009-01-03,59,20,
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers ,2009-01-03,43,12,
When It Hurts,Avant ,2009-01-03,91,3,
Beep,Bobby Valentino Featuring Yung Joc ,2009-01-03,55,8,
Anything Goes,Randy Houser ,2009-01-03,92,5,
Rockin' That Thang,The-Dream ,2009-01-03,22,20,
It Won't Be Like This For Long,Darius Rucker ,2009-01-03,36,20,
I'm So Paid,Akon Featuring Lil Wayne ,2008-10-25,40,7,
Headfirst Slide Into Cooperstown On A Bad Bet,Fall Out Boy ,2008-10-25,74,1,
The Shock Of The Lightning,Oasis ,2008-10-25,93,1,
That's Not My Name,The Ting Tings ,2009-01-17,39,26,
Pen & Paper,The Red Jumpsuit Apparatus ,2009-01-24,75,1,
Lost,Gorilla Zoe ,2009-01-24,71,11,
Right Round,Flo Rida Featuring Ke$ha ,2009-03-07,1,1,
Crack A Bottle,"Eminem, Dr. Dre & 50 Cent ",2009-03-07,1,17,
Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie ,2009-03-07,3,19,
My Life Would Suck Without You,Kelly Clarkson ,2009-03-07,1,24,
Blame It,Jamie Foxx Featuring T-Pain ,2009-03-07,2,27,
I Love College,Asher Roth ,2009-03-07,12,17,
Thinking Of You,Katy Perry ,2009-03-07,29,15,
How Do You Sleep?,Jesse McCartney Featuring Ludacris ,2009-03-07,26,20,
Day 'N' Nite,Kid Cudi ,2009-03-07,3,27,
Halo,Beyonce ,2009-03-07,5,31,
"1, 2, 3, 4",Plain White T's ,2009-03-07,34,20,
Lucky,Jason Mraz & Colbie Caillat ,2009-03-07,48,19,
She's Country,Jason Aldean ,2009-03-07,29,20,
Ain't I,Yung L.A. Featuring Young Dro & T.I. ,2009-03-07,47,19,
Stanky Legg,GS Boyz ,2009-03-07,49,14,
Freeze,T-Pain Featuring Chris Brown ,2009-03-07,38,10,
Prom Queen,Lil Wayne ,2009-03-07,15,11,
Move (If You 'W'anna),Mims ,2009-03-07,61,13,
I Will Be,Leona Lewis ,2009-03-07,66,6,
Don't Think I Can't Love You,Jake Owen ,2009-03-07,57,15,
Angels On The Moon,Thriving Ivory ,2009-03-07,75,9,
I Told You So,Carrie Underwood ,2009-03-07,62,4,
I Get It In,50 Cent ,2009-03-07,53,2,
You Complete Me,Keyshia Cole ,2009-03-07,62,10,
Lost!,Coldplay With Jay-Z ,2009-03-07,40,2,
Last Call,Lee Ann Womack ,2009-03-07,77,9,
"Lions, Tigers & Bears",Jazmine Sullivan ,2009-03-07,74,8,
My President,Young Jeezy Featuring Nas ,2009-03-07,53,6,
F*** You,Lily Allen ,2009-03-07,68,2,
I'm On A Boat,The Lonely Island Featuring T-Pain ,2009-03-07,56,20,
More Like Her,Miranda Lambert ,2009-03-07,90,8,
The Fear,Lily Allen ,2009-03-07,80,10,
Nothin' To Die For,Tim McGraw ,2009-03-07,68,11,
If U Seek Amy,Britney Spears ,2009-03-07,19,20,
Break My Heart,Spectacular! Cast ,2009-03-07,95,1,
Never Ever,Ciara Featuring Young Jeezy ,2009-03-07,66,15,
It's America,Rodney Atkins ,2009-03-07,44,20,
Jai Ho! (You Are My Destiny),A.R. Rahman & The Pussycat Dolls Featuring Nicole Scherzinger ,2009-03-07,100,1,
Right Round,Flo Rida ,2009-03-14,1,25,
Jai Ho! (You Are My Destiny),A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger ,2009-03-14,15,12,
Hold Up My Heart,Brooke White ,2009-03-14,47,1,
All The Above,Maino Featuring T-Pain ,2009-03-14,39,20,
Shone,Flo Rida Featuring Pleasure P ,2009-03-14,57,1,
Beep,Bobby V Featuring Yung Joc ,2009-03-14,56,4,
I Know You Want Me (Calle Ocho),Pitbull ,2009-03-14,2,35,
Love Is On Its Way,Jonas Brothers ,2009-03-14,84,1,
Here Comes Goodbye,Rascal Flatts ,2009-03-14,11,16,
Shuttin' Detroit Down,John Rich ,2009-03-14,75,8,
If This Isn't Love,Jennifer Hudson ,2009-03-14,63,13,
O...Saya,M.I.A. & A R Rahman ,2009-03-14,93,1,
Get On Your Boots,U2 ,2009-03-14,37,3,
Ride,Martina McBride ,2009-03-14,82,8,
Wavin' Flag,K'Naan ,2009-03-14,82,7,
The Climb,Miley Cyrus ,2009-03-21,4,28,
You're Not Sorry,Taylor Swift ,2009-03-21,11,5,
I'm In Miami Trick,LMFAO ,2009-03-21,51,20,
Magnificent,U2 ,2009-03-21,79,1,
My Love,The-Dream Featuring Mariah Carey ,2009-03-21,82,4,
Next To You,Mike Jones ,2009-03-21,71,10,
Magnificent,Rick Ross Featuring John Legend ,2009-03-21,62,11,
You Can Get It All,Bow Wow Featuring Johnta Austin ,2009-03-21,55,10,
Kids,MGMT ,2009-03-21,91,6,
Candle (Sick And Tired),The White Tie Affair ,2009-03-21,57,8,
LoveGame,Lady GaGa ,2009-03-21,10,7,
It Happens,Sugarland ,2009-03-21,33,20,
Turn My Swag On,Soulja Boy Tell'em ,2009-03-21,19,20,
Marry For Money,Trace Adkins ,2009-03-21,98,3,
Boom Boom Pow,The Black Eyed Peas ,2009-05-02,1,33,
We Made You,Eminem ,2009-05-02,9,10,
Sugar,Flo Rida Featuring Wynter ,2009-05-02,5,18,
Crazier,Taylor Swift ,2009-05-02,17,8,
Hoedown Throwdown,Miley Cyrus ,2009-05-02,18,13,
Love Sex Magic,Ciara Featuring Justin Timberlake ,2009-05-02,10,12,
I Told You So,Carrie Underwood Featuring Randy Travis ,2009-05-02,9,14,
Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo ,2009-05-02,3,31,
Know Your Enemy,Green Day ,2009-05-02,28,15,
Then,Brad Paisley ,2009-05-02,28,20,
Best Days Of Your Life,Kellie Pickler ,2009-05-02,46,20,
Butterfly Fly Away,Miley Cyrus & Billy Ray Cyrus ,2009-05-02,56,3,
I Run To You,Lady Antebellum ,2009-05-02,27,21,
Boyfriend #2,Pleasure P ,2009-05-02,42,18,
Whatever It Is,Zac Brown Band ,2009-05-02,26,20,
Kiss A Girl,Keith Urban ,2009-05-02,16,20,
Birthday Sex,Jeremih ,2009-05-02,4,20,
Careless Whisper,Seether ,2009-05-02,63,18,
One In Every Crowd,Montgomery Gentry ,2009-05-02,53,17,
Sideways,Dierks Bentley ,2009-05-02,35,20,
Not Meant To Be,Theory Of A Deadman ,2009-05-02,55,21,
Welcome To The World,Kevin Rudolf Featuring Rick Ross ,2009-05-02,58,9,
Imma Put It On Her,DAY26 Featuring P. Diddy & Yung Joc ,2009-05-02,79,3,
Let's Get Crazy,Hannah Montana ,2009-05-02,57,3,
You'll Always Find Your Way Back Home,Hannah Montana ,2009-05-02,81,4,
Sissy's Song,Alan Jackson ,2009-05-02,61,13,
I Do Not Hook Up,Kelly Clarkson ,2009-05-02,20,18,
sobeautiful,Musiq Soulchild ,2009-05-02,84,11,
Always The Love Songs,Eli Young Band ,2009-05-02,69,11,
Panic Switch,Silversun Pickups ,2009-05-02,92,1,
Where I'm From,Jason Michael Carroll ,2009-05-02,64,11,
Beggin',Madcon ,2009-05-02,79,10,
Please Don't Leave Me,Pink ,2009-05-02,17,26,
"It's Alright, It's OK",Ashley Tisdale ,2009-05-02,99,1,
Out Last Night,Kenny Chesney ,2009-05-02,16,20,
Home Sweet Home,Carrie Underwood ,2009-03-28,21,3,
Already Gone,Kelly Clarkson ,2009-03-28,13,31,
"Want It, Need It",Plies Featuring Ashanti ,2009-03-28,96,1,
Funny The Way It Is,Dave Matthews Band ,2009-05-09,37,8,
Goodbye,Kristinia Debarge ,2009-05-09,15,13,
Show Me What I'm Looking For,Carolina Liar ,2009-05-09,67,18,
Maybach Music 2,"Rick Ross Featuring Kanye West, T-Pain, Lil' Wayne ",2009-05-09,92,1,
Lark On My Go-Kart,Asher Roth ,2009-05-09,95,1,
Soulmate,Natasha Bedingfield ,2009-05-09,96,2,
Always Strapped,Birdman Featuring Lil Wayne ,2009-05-09,54,17,
3am,Eminem ,2009-05-16,32,1,
Waking Up In Vegas,Katy Perry ,2009-05-16,9,23,
America's Suitehearts,Fall Out Boy ,2009-05-16,78,1,
Echo,Gorilla Zoe ,2009-05-16,57,9,
You Belong With Me,Taylor Swift ,2009-05-16,2,50,
Pretty Wings,Maxwell ,2009-05-16,33,23,
People Are Crazy,Billy Currington ,2009-05-16,27,20,
Halle Berry (She's Fine),Hurricane Chris Featuring Superstarr ,2009-05-16,52,7,
Epiphany,Chrisette Michele ,2009-05-16,89,3,
Fearless,Taylor Swift ,2009-05-16,9,15,
Lost You Anyway,Toby Keith ,2009-05-16,69,10,
There Goes My Baby,Charlie Wilson ,2009-05-16,98,2,
No Surprise,Daughtry ,2009-05-23,15,24,
Old Time's Sake,Eminem Featuring Dr. Dre ,2009-05-23,25,2,
Fire Burning,Sean Kingston ,2009-05-23,5,21,
Amazing,Kanye West Featuring Young Jeezy ,2009-05-23,81,5,
I'm Just Here For The Music,Paula Abdul ,2009-05-23,87,2,
Best I Ever Had,Drake ,2009-05-23,2,24,
Every Girl,Young Money ,2009-05-23,10,20,
Swag Surfin',Fast Life Yungstaz (F.L.Y.) ,2009-05-23,62,7,
I Gotta Feeling,The Black Eyed Peas ,2009-07-04,1,56,
LoveGame,Lady Gaga ,2009-07-04,5,15,
Poker Face,Lady Gaga ,2009-07-04,5,16,
New Divide,Linkin Park ,2009-07-04,6,20,
Battlefield,Jordin Sparks ,2009-07-04,10,22,
You're A Jerk,New Boyz ,2009-07-04,24,20,
Just Dance,Lady Gaga Featuring Colby O'Donis ,2009-07-04,29,6,
Her Diamonds,Rob Thomas ,2009-07-04,23,20,
Ego,Beyonce ,2009-07-04,39,17,
Alright,Darius Rucker ,2009-07-04,30,20,
Summer Nights,Rascal Flatts ,2009-07-04,37,18,
Never Say Never,The Fray ,2009-07-04,32,20,
Wetter (Calling You Daddy),Twista ,2009-07-04,44,9,
I Need A Girl,Trey Songz ,2009-07-04,59,16,
Halle Berry (She's Fine),Hurricane Chris Featuring SupaSTAAR ,2009-07-04,60,3,
Hotel Room Service,Pitbull ,2009-07-04,8,23,
Big Green Tractor,Jason Aldean ,2009-07-04,18,20,
Good Girls Go Bad,Cobra Starship Featuring Leighton Meester ,2009-07-04,7,25,
Damned If I Do Ya (Damned If I Don't),All Time Low ,2009-07-04,67,1,
Wild At Heart,Gloriana ,2009-07-04,53,15,
Paranoid,Jonas Brothers ,2009-07-04,37,7,
Boots On,Randy Houser ,2009-07-04,53,19,
Wanted,Jessie James ,2009-07-04,40,12,
Come Back To Me,David Cook ,2009-07-04,63,19,
Ice Cream Paint Job,Dorrough ,2009-07-04,27,20,
Make Her Say,Kid Cudi Featuring Kanye West & Common ,2009-07-04,43,15,
Strange,Reba ,2009-07-04,76,9,
Fly With Me,Jonas Brothers ,2009-07-04,83,1,
Last Chance,Ginuwine ,2009-07-04,63,16,
Imma Be,The Black Eyed Peas ,2009-07-04,1,27,
Small Town USA,Justin Moore ,2009-07-04,44,20,
Living For The Night,George Strait ,2009-07-04,53,17,
Throw It In The Bag,Fabolous Featuring The-Dream ,2009-07-04,14,23,
Walkin' On The Moon,The-Dream Featuring Kanye West ,2009-07-04,87,9,
Beautiful,Eminem ,2009-07-04,17,6,
Break Up,Mario Featuring Gucci Mane & Sean Garrett ,2009-07-04,14,23,
Ain't No Rest For The Wicked,Cage The Elephant ,2009-07-04,83,11,
When Love Takes Over,David Guetta Featuring Kelly Rowland ,2009-07-04,76,9,
Heartless,The Fray ,2009-05-30,79,1,
Hush Hush,The Pussycat Dolls Featuring Nicole Scherzinger ,2009-05-30,73,9,
D.O.A. (Death Of Auto-Tune),Jay-Z ,2009-07-11,24,7,
Here We Go Again,Demi Lovato ,2009-07-11,15,9,
21 Guns,Green Day ,2009-07-11,22,20,
Swag Surfin',F.L.Y. (Fast Life Yungstaz) ,2009-07-11,71,4,
Take Me On The Floor,The Veronicas ,2009-07-11,81,2,
Love Your Love The Most,Eric Church ,2009-07-11,63,16,
Trust,Keyshia Cole Duet With Monica ,2009-07-11,70,15,
Sound Of Madness,Shinedown ,2009-07-11,85,9,
Barefoot And Crazy,Jack Ingram ,2009-07-11,64,12,
Falling For You,Colbie Caillat ,2009-07-18,12,6,
Love Drunk,Boys Like Girls ,2009-07-18,22,20,
So Fine,Sean Paul ,2009-07-18,50,9,
Down,Jay Sean Featuring Lil Wayne ,2009-07-18,1,40,
One And The Same,Selena Gomez & Demi Lovato ,2009-07-18,82,1,
God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard ",2009-07-18,68,20,
I'll Just Hold On,Blake Shelton ,2009-07-18,76,14,
He Could Be The One,Hannah Montana ,2009-07-25,10,5,
Obsessed,Mariah Carey ,2009-07-25,7,21,
Ignorance,Paramore ,2009-07-25,67,1,
I Wanna Know You,Hannah Montana Featuring David Archuleta ,2009-07-25,74,1,
Ice Cream Freeze (Let's Chill),Hannah Montana ,2009-07-25,87,1,
Shining Down,Lupe Fiasco Featuring Matthew Santos ,2009-07-25,93,1,
One Time,Justin Bieber ,2009-07-25,17,25,
She Wolf,Shakira ,2009-08-01,11,20,
Come Home,OneRepublic With Sara Bareilles ,2009-08-01,80,1,
Successful,Drake Featuring Trey Songz ,2009-08-01,62,5,
If It Kills Me,Jason Mraz ,2009-08-01,92,1,
You Don't Belong,Daughtry ,2009-08-01,95,1,
Sounds Like Life To Me,Darryl Worley ,2009-08-01,84,11,
Wetter (Calling You Daddy),Twista Featuring Erika Shevon ,2009-08-22,45,6,
Toes,Zac Brown Band ,2009-08-22,25,20,
Jump,Flo Rida Featuring Nelly Furtado ,2009-08-22,54,6,
Say Hey (I Love You),Michael Franti & Spearhead ,2009-08-22,51,4,
American Ride,Toby Keith ,2009-08-22,35,16,
Magic,Selena Gomez ,2009-08-22,61,4,
Run This Town,"Jay-Z, Rihanna & Kanye West ",2009-08-22,2,23,
Be On You,Flo Rida Featuring Ne-Yo ,2009-08-22,19,16,
It's A Business Doing Pleasure With You,Tim McGraw ,2009-08-22,59,7,
Celebration,Madonna ,2009-08-22,71,1,
I Look To You,Whitney Houston ,2009-08-22,70,6,
Goodbye,Kristinia DeBarge ,2009-08-22,59,3,
Uprising,Muse ,2009-08-22,37,20,
Sweet Dreams,Beyonce ,2009-08-22,10,29,
Only You Can Love Me This Way,Keith Urban ,2009-08-22,34,19,
Imma Star (Everywhere We Are),Jeremih ,2009-08-22,51,20,
Digital Girl,"Jamie Foxx Featuring Drake, Kanye West & The-Dream ",2009-08-22,92,1,
Sexy Bitch,David Guetta Featuring Akon ,2009-08-22,56,5,
Remember Me,T.I. Featuring Mary J. Blige ,2009-08-22,29,2,
The One,Mary J. Blige Featuring Drake ,2009-08-22,63,10,
Welcome To The Future,Brad Paisley ,2009-08-22,42,16,
She Is Love,Parachute ,2009-08-22,66,7,
Sooner Or Later,Michelle Branch ,2009-08-15,93,1,
Smile,Uncle Kracker ,2009-08-15,31,33,
Closer To Love,Mat Kearney ,2009-08-15,91,7,
I Just Call You Mine,Martina McBride ,2009-08-15,97,1,
Catch Me,Demi Lovato ,2009-08-08,89,1,
Too Many Rappers,Beastie Boys Featuring Nas ,2009-08-08,93,1,
Party In The U.S.A.,Miley Cyrus ,2009-08-29,2,28,
Send It On,Disney's Friends For Change ,2009-08-29,20,5,
Fallin' For You,Colbie Caillat ,2009-08-29,15,25,
